"","objectid","id_no","binomial","event_year","legend","kingdom","phylum","class","order","family","genus","category","latitude","longitude","area","threat_level"
"365","598078",61161,"Chindongo ater",2007,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Chindongo","Near Threatened",-13.838584,34.956731,"Africa","Near Threatened"
"366","3640092",61162,"Chindongo cyaneus",2009,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Chindongo","Near Threatened",-13.889712,34.955047,"Africa","Near Threatened"
"367","1720408",61163,"Chindongo demasoni",2004,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Chindongo","Vulnerable",-10.662,34.643041,"Africa","Threatened"
"368","3311605",61165,"Chindongo flavus",2009,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Chindongo","Near Threatened",-13.838584,34.956731,"Africa","Near Threatened"
"369","3012300",61168,"Pseudotropheus galanos",2006,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Pseudotropheus","Near Threatened",-13.43246,34.496793,"Africa","Near Threatened"
"370","2301941",61172,"Tropheops modestus",2005,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Tropheops","Near Threatened",-13.962904,34.559743,"Africa","Near Threatened"
"371","2534208",61177,"Pseudotropheus tursiops",2015,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","CICHLIDAE","Pseudotropheus","Near Threatened",-12.011522,34.617288,"Africa","Near Threatened"
"372","3567918",61187,"Mastacembelus shiranus",2011,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","SYNBRANCHIFORMES","MASTACEMBELIDAE","Mastacembelus","Least Concern",-15.061,35.219,"Africa","Least Concern"
"373","3173696",61213,"Oligolepis acutipennis",2018,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","PERCIFORMES","GOBIIDAE","Oligolepis","Least Concern",8.0325,80.876944,"Asia","Least Concern"
"374","866525",61233,"Enteromius innocens",2013,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Enteromius","Least Concern",-15.81,35.646,"Africa","Least Concern"
"375","4259979",61252,"Marcusenius macrolepidotus",2013,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","OSTEOGLOSSIFORMES","MORMYRIDAE","Marcusenius","Least Concern",-14.781,35.842,"Africa","Least Concern"
"376","2351355",61269,"Enteromius toppini",2013,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Enteromius","Least Concern",-14.781,35.842,"Africa","Least Concern"
"377","2283047",61309,"Enteromius lineomaculatus",2011,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CYPRINIFORMES","CYPRINIDAE","Enteromius","Least Concern",-12.833,34.146,"Africa","Least Concern"
"378","5231477",62181,"Hemicordulia mindana",2010,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Hemicordulia","Least Concern",13.39904,144.76044,"Oceania","Least Concern"
"379","1831733",63004,"Fraxinus caroliniana",2015,"Extant (resident)","plants","Tracheophyta (plants)","Magnoliopsida (Plants)","LAMIALES","OLEACEAE","Fraxinus","Endangered",26.807938,-80.172463,"America","Threatened"
"380","4587188",63175,"Pseudagrion inopinatum",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Near Threatened",-29.74269,29.906,"Africa","Near Threatened"
"381","21766",63178,"Agriocnemis ruberrima",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Agriocnemis","Least Concern",-9.1384,13.2627,"Africa","Least Concern"
"382","1383949",63182,"Agriocnemis falcifera",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Agriocnemis","Least Concern",-29.562,30.253,"Africa","Least Concern"
"383","1776261",63187,"Neurogomphus cocytius",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Neurogomphus","Least Concern",-9.52,27.05,"Africa","Least Concern"
"384","3580784",63188,"Chlorocypha frigida",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Chlorocypha","Least Concern",-11.232298,24.310062,"Africa","Least Concern"
"385","2933420",63193,"Zosteraeschna minuscula",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Zosteraeschna","Least Concern",-33.37,26.525,"Africa","Least Concern"
"386","1804509",63194,"Pinheyschna subpupillata",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Pinheyschna","Least Concern",-29.562,30.253,"Africa","Least Concern"
"387","2355699",63196,"Neodythemis fitzgeraldi",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Neodythemis","Least Concern",-10.57,27.88,"Africa","Least Concern"
"388","859660",63197,"Phyllomacromia unifasciata",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","MACROMIIDAE","Phyllomacromia","Least Concern",-11.233766,24.30757,"Africa","Least Concern"
"389","3017304",63200,"Pseudagrion angolense",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Near Threatened",-12.446197,15.154651,"Africa","Near Threatened"
"390","4559017",63208,"Platycypha fitzsimonsi",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Platycypha","Least Concern",-32.59899,27.45191,"Africa","Least Concern"
"391","451929",63210,"Agriocnemis angolensis",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Agriocnemis","Least Concern",-7.68363,15.26222,"Africa","Least Concern"
"392","4588309",63211,"Ceriagrion katamborae",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Ceriagrion","Least Concern",-11.170357,31.60578,"Africa","Least Concern"
"393","588545",63218,"Africallagma sapphirinum",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Africallagma","Least Concern",-32.43228,27.05073,"Africa","Least Concern"
"394","4516485",63219,"Proischnura polychromatica",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Proischnura","Endangered",-33.97,19.175,"Africa","Threatened"
"395","3228764",63221,"Enallagma pictum",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Enallagma","Least Concern",39.54393,-74.75297,"America","Least Concern"
"396","3481773",63222,"Argia sabino",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Argia","Least Concern",31.42841,-111.19185,"America","Least Concern"
"397","4495902",63223,"Ophiogomphus australis",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ophiogomphus","Near Threatened",30.94333,-89.89,"America","Near Threatened"
"398","1863420",63224,"Argia leonorae",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Argia","Least Concern",30.23500061,-97.64289856,"America","Least Concern"
"399","82553",63225,"Argia rhoadsi",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Argia","Least Concern",29.36300087,-100.88899994,"America","Least Concern"
"400","323073",63238,"Hemigrammopetersius barnardi",2013,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","CHARACIFORMES","ALESTIDAE","Hemigrammopetersius","Least Concern",-14.781,35.842,"Africa","Least Concern"
"401","2660704",63400,"Phanogomphus westfalli",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Phanogomphus","Near Threatened",30.86412,-86.83047,"America","Near Threatened"
"402","3226738",63539,"Argia pima",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Argia","Least Concern",32.3518,-110.24398,"America","Least Concern"
"403","1943195",63540,"Enallagma laterale",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Enallagma","Least Concern",41.03960037,-74.99649811,"America","Least Concern"
"404","110207",134323,"Nautilothelphusa zimmeri",2000,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","GECARCINUCIDAE","Nautilothelphusa","Endangered",-2.681528,121.43525,"Asia","Threatened"
"405","3286871",134327,"Parathelphusa ferruginea",2000,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","GECARCINUCIDAE","Parathelphusa","Endangered",-2.610633,121.530367,"Asia","Threatened"
"406","1441740",134415,"Parathelphusa pantherina",2000,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","GECARCINUCIDAE","Parathelphusa","Endangered",-2.461528,121.218417,"Asia","Threatened"
"407","2744729",134942,"Syntripsa flavichela",2000,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","GECARCINUCIDAE","Syntripsa","Endangered",-2.565083,121.495583,"Asia","Threatened"
"408","50368",135110,"Syntripsa matannensis",2000,"Extant (resident)","animals","Arthropoda (animals)","Malacostraca (Crustaceans)","DECAPODA","GECARCINUCIDAE","Syntripsa","Endangered",-2.461528,121.218417,"Asia","Threatened"
"409","193876",155259,"Strongylura marina",2006,"Extant (resident)","animals","Chordata (animals)","Actinopterygii (Ray-Finned Fish)","BELONIFORMES","BELONIDAE","Strongylura","Least Concern",20.7631,-90.41909,"America","Least Concern"
"410","3085508",155675,"Melanoides tuberculata",2016,"Extant (resident)","animals","Mollusca (animals)","Gastropoda (Snails and Slugs)","SORBEOCONCHA","THIARIDAE","Melanoides","Least Concern",0.05,32.45,"Africa","Least Concern"
"411","2970707",158552,"Sapho gloriosa",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CALOPTERYGIDAE","Sapho","Least Concern",-1.883904,11.298437,"Africa","Least Concern"
"412","835197",158554,"Trithemis fumosa",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Trithemis","Least Concern",-2.81372,25.08239,"Africa","Least Concern"
"413","485524",158555,"Chlorocypha dispar",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Chlorocypha","Least Concern",12.362826,-12.32845,"Africa","Least Concern"
"414","1898610",158557,"Trithemis osvaldae",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Trithemis","Least Concern",-1.64766,13.68004,"Africa","Least Concern"
"415","540420",158558,"Mortonagrion stygium",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Mortonagrion","Least Concern",-2.75995,20.3787,"Africa","Least Concern"
"416","4524623",158565,"Allocnemis interrupta",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Allocnemis","Near Threatened",0.52066,10.29163,"Africa","Near Threatened"
"417","2825270",158577,"Platycypha crocea",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Platycypha","Least Concern",-13.703904,17.045293,"Africa","Least Concern"
"418","394661",158578,"Phyllomacromia contumax",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","MACROMIIDAE","Phyllomacromia","Least Concern",-1.71567,30.77239,"Africa","Least Concern"
"419","4207035",158581,"Phyllomacromia villiersi",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","MACROMIIDAE","Phyllomacromia","Least Concern",-0.788161,13.572633,"Africa","Least Concern"
"420","2323791",158586,"Pseudagrion symoensii",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Vulnerable",-8.937,27.166,"Africa","Threatened"
"421","4612094",158588,"Malgassophlebia westfalli",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Malgassophlebia","Least Concern",0.129826,13.677283,"Africa","Least Concern"
"422","2266693",158589,"Chlorocypha rubida",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Chlorocypha","Least Concern",7.65743,-10.77889,"Africa","Least Concern"
"423","1358753",158590,"Pseudagrion glaucum",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Least Concern",-2.75995,20.3787,"Africa","Least Concern"
"424","2606360",158591,"Aethiothemis mediofasciata",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Aethiothemis","Least Concern",-1.60549,16.03418,"Africa","Least Concern"
"425","1751481",158594,"Tetrathemis fraseri",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Tetrathemis","Least Concern",-2.75995,20.3787,"Africa","Least Concern"
"426","744252",158598,"Umma mesostigma",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CALOPTERYGIDAE","Umma","Least Concern",-2.75995,20.3787,"Africa","Least Concern"
"427","4520924",158601,"Stenocypha gracilis",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Stenocypha","Least Concern",-1.41428,12.07578,"Africa","Least Concern"
"428","700212",158604,"Libyogomphus emiliae",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Libyogomphus","Least Concern",-1.727623,11.307118,"Africa","Least Concern"
"429","943984",158607,"Azuragrion buchholzi",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Azuragrion","Least Concern",2.06808,16.37051,"Africa","Least Concern"
"430","4359820",158649,"Hemicordulia lulico",2010,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Hemicordulia","Least Concern",7.49542,134.60983,"Oceania","Least Concern"
"431","757300",158650,"Synthemis miranda",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","SYNTHEMISTIDAE","Synthemis","Least Concern",-21.5641,165.8319,"Oceania","Least Concern"
"432","3031398",158652,"Isosticta spinipes",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","ISOSTICTIDAE","Isosticta","Near Threatened",-21.5641,165.8319,"Oceania","Near Threatened"
"433","5231487",158654,"Hypothemis hageni",2010,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Hypothemis","Least Concern",-17.462583,178.060528,"Oceania","Least Concern"
"434","873040",158658,"Caledopteryx maculata",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","ARGIOLESTIDAE","Caledopteryx","Near Threatened",-22.266889,166.822194,"Oceania","Near Threatened"
"435","1806030",158659,"Synthemis flexicauda",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","SYNTHEMISTIDAE","Synthemis","Endangered",-22.133617,166.522983,"Oceania","Threatened"
"436","3359082",158660,"Hemicordulia fidelis",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Hemicordulia","Least Concern",-22.066667,166,"Oceania","Least Concern"
"437","1357231",158661,"Procordulia smithii",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Procordulia","Least Concern",-42.097475,171.396567,"Oceania","Least Concern"
"438","888102",158663,"Caledopteryx sarasini",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","ARGIOLESTIDAE","Caledopteryx","Near Threatened",-21.3788,165.44235,"Oceania","Near Threatened"
"439","3018051",158664,"Ischnura pamelae",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Ischnura","Vulnerable",-22.1648,166.8555,"Oceania","Threatened"
"440","3226789",158665,"Trineuragrion percostale",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","ARGIOLESTIDAE","Trineuragrion","Least Concern",-22.180944,166.492222,"Oceania","Least Concern"
"441","5231550",158667,"Synthemis campioni",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","SYNTHEMISTIDAE","Synthemis","Near Threatened",-21.5822,165.8223,"Oceania","Near Threatened"
"442","5231507",158668,"Metaphya elongata",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CORDULIIDAE","Metaphya","Near Threatened",-22.133617,166.522983,"Oceania","Near Threatened"
"443","4302611",158672,"Nesobasis rufostigma",2010,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Nesobasis","Least Concern",-17.413528,178.177,"Oceania","Least Concern"
"444","1351163",158675,"Pseudagrion samoense",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Vulnerable",-13.9126,-171.8261,"Oceania","Threatened"
"445","4611987",158676,"Melanesobasis maculosa",2005,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Melanesobasis","Near Threatened",-17.547333,177.943667,"Oceania","Near Threatened"
"446","3014725",158692,"Aeshna isoceles",2009,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Aeshna","Least Concern",36.964,9.0171,"Africa","Least Concern"
"447","2200322",158694,"Aeshna affinis",2003,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Aeshna","Least Concern",35.7164229,-5.3494624,"Africa","Least Concern"
"448","2721058",158695,"Calopteryx haemorrhoidalis",2013,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CALOPTERYGIDAE","Calopteryx","Least Concern",32.9113881,-5.0816833,"Africa","Least Concern"
"449","2601641",158817,"Triacanthagyna caribbea",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Triacanthagyna","Least Concern",26.0970993,-98.26170349,"America","Least Concern"
"450","997527",158905,"Remartinia luteipennis",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Remartinia","Least Concern",12.99730015,-85.9088974,"America","Least Concern"
"451","1934880",158918,"Leptobasis vacillans",2009,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Leptobasis","Least Concern",26.07962,-98.17956,"America","Least Concern"
"452","1202776",159122,"Drepanosticta palauensis",2010,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYSTICTIDAE","Drepanosticta","Data Deficient",7.58878,134.59108,"Oceania","Data Deficient"
"453","5231571",159124,"Teinobasis ariel",2001,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Teinobasis","Vulnerable",6.866667,158.216667,"Oceania","Threatened"
"454","1934030",163559,"Uropetala carovei",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PETALURIDAE","Uropetala","Least Concern",-36.078664,174.52838,"Oceania","Least Concern"
"455","756954",163566,"Orthetrum serapia",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Orthetrum","Least Concern",-13.8878,-171.8305,"Oceania","Least Concern"
"456","3673004",163588,"Macrogomphus kerri",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Macrogomphus","Least Concern",14.126,108.619,"Asia","Least Concern"
"457","2973289",163590,"Pseudagrion coomansi",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Pseudagrion","Least Concern",-2.768966,107.62724,"Asia","Least Concern"
"458","4244996",163591,"Ceriagrion bellona",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Ceriagrion","Least Concern",2.8347,113.7464,"Asia","Least Concern"
"459","4565206",163592,"Archibasis oscillans",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Archibasis","Least Concern",6.64783,100.1791,"Asia","Least Concern"
"460","2091555",163593,"Tetrathemis flavescens",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Tetrathemis","Near Threatened",-3.017,107.654,"Asia","Near Threatened"
"461","2071738",163594,"Drepanosticta attala",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYSTICTIDAE","Drepanosticta","Least Concern",3.0151,114.9097,"Asia","Least Concern"
"462","2357943",163602,"Vestalis atropha",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CALOPTERYGIDAE","Vestalis","Least Concern",1.6259,112.3117,"Asia","Least Concern"
"463","995948",163606,"Libellago stigmatizans",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Libellago","Least Concern",4.566,102.58189,"Asia","Least Concern"
"464","190122",163607,"Crocothemis servilia",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Crocothemis","Least Concern",28.45730019,-81.58509827,"America","Least Concern"
"465","3297853",163612,"Macrogomphus parallelogramma",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Macrogomphus","Least Concern",-2.793,107.849,"Asia","Least Concern"
"466","1300500",163615,"Libellago stictica",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Libellago","Least Concern",1.6493,112.2627,"Asia","Least Concern"
"467","2244577",163619,"Coeliccia erici",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Coeliccia","Least Concern",3.11671,101.95526,"Asia","Least Concern"
"468","4467523",163624,"Orthetrum borneense",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","LIBELLULIDAE","Orthetrum","Data Deficient",4.03803,114.88753,"Asia","Data Deficient"
"469","1007684",163637,"Euphaea basalis",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","EUPHAEIDAE","Euphaea","Near Threatened",5.7963,116.4097,"Asia","Near Threatened"
"470","4089124",163657,"Coeliccia macrostigma",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Coeliccia","Endangered",4.15359,114.71731,"Asia","Threatened"
"471","858805",163658,"Teinobasis rajah",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Teinobasis","Least Concern",2.9167,113.0919,"Asia","Least Concern"
"472","4531891",163666,"Macromia westwoodii",2016,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","MACROMIIDAE","Macromia","Least Concern",5.97822,100.89262,"Asia","Least Concern"
"473","3085448",163670,"Mortonagrion alcyone",2008,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Mortonagrion","Least Concern",-1.14,116.837,"Asia","Least Concern"
"474","952712",163677,"Neurobasis longipes",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CALOPTERYGIDAE","Neurobasis","Least Concern",1.6572,112.2432,"Asia","Least Concern"
"475","1369684",163682,"Prodasineura abbreviata",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Prodasineura","Endangered",-1.741,114.987,"Asia","Threatened"
"476","2592311",163698,"Rhinoneura caerulea",2010,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","CHLOROCYPHIDAE","Rhinoneura","Data Deficient",2.06478,113.67565,"Asia","Data Deficient"
"477","2596389",163716,"Ictinogomphus acutus",2012,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Ictinogomphus","Vulnerable",1.61882,111.05844,"Asia","Threatened"
"478","4160124",163720,"Archibasis rebeccae",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","COENAGRIONIDAE","Archibasis","Near Threatened",4.566,102.58189,"Asia","Near Threatened"
"479","2627726",163727,"Euphaea subcostalis",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","EUPHAEIDAE","Euphaea","Least Concern",-1.24,110.239167,"Asia","Least Concern"
"480","2875486",163728,"Coeliccia borneensis",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Coeliccia","Least Concern",2.8878,115.0876,"Asia","Least Concern"
"481","3558855",163729,"Protosticta versicolor",2015,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYSTICTIDAE","Protosticta","Least Concern",1.965,109.642,"Asia","Least Concern"
"482","2556640",163740,"Heliogomphus kelantanensis",2006,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","GOMPHIDAE","Heliogomphus","Vulnerable",3.138889,102.03306,"Asia","Threatened"
"483","1839511",163743,"Prodasineura peramoena",2014,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Prodasineura","Least Concern",2.9123,113.2491,"Asia","Least Concern"
"484","4571289",163755,"Prodasineura hosei",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYCNEMIDIDAE","Prodasineura","Least Concern",1.634,112.289,"Asia","Least Concern"
"485","242437",163777,"Macromia callisto",2017,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","MACROMIIDAE","Macromia","Least Concern",1.6568,112.2336,"Asia","Least Concern"
"486","2058171",163783,"Drepanosticta fontinalis",2011,"Extant (resident)","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","PLATYSTICTIDAE","Drepanosticta","Least Concern",4.969,102.838,"Asia","Least Concern"
"487","2009934",163785,"Linaeschna polli",2009,"Possibly Extinct","animals","Arthropoda (animals)","Insecta (Insects)","ODONATA","AESHNIDAE","Linaeschna","Vulnerable",2.7171,113.3463,"Asia","Threatened"
